id,strategy_id,name,,Content,type,category,,,,,4_See_N_Do_It,5_Coach_It,6_Own_It,7_PDF,8_Target_Audience,9_Lesson_Category,Playbook ,Vimeo ID,,Featured image
,,1-4-1 Double Mumbo to Weave Set Play,3,"The lacrosse strategy involves executing the 141 double Mumbo that everyone loves but adds a weave motion over the top, using coordinated picks and player movements to disorient the defense and create multiple scoring opportunities. This approach emphasizes teamwork, timing, and precise execution to exploit defensive weaknesses and generate advantageous situations for attackers.",offense;set-plays,,,,,,09-10,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/1-4-1-double-mumbo-to-weave-set-play.pdf/,1092018820,[mpdl-file-link file_id=19588],https://powlax.com/wp-content/uploads/2024/02/1-4-1-Double-Mumbo-to-Weave-1.webp
,,1-4-1 Offense vs Zone Defense,1,We discuss the reasons why the 1-4-1 Offense is a great option to attack a zone defense with.,offense,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/how-to-beat-zone-defense-lacrosse-coaching-zone-offense-powlax.pdf/,1092018776,[mpdl-file-link file_id=9576],https://powlax.com/wp-content/uploads/2022/07/9C9B48F7-7A3C-40AB-9585-1A8DE6B1ED53.webp
,,1-4-1 Shifted Triangles Motion Offense,4,"This lacrosse strategy involves a dynamic 141 offense derived from the traditional 2112 motion offense, focusing on player movement, positioning, and coordinated dodging to create scoring opportunities. It emphasizes a push-pull motion for ball handlers, strategic positioning for off-ball players, and quick adaptation to defensive actions to maintain offensive advantage and exploit weaknesses.",,,,,,,,,,pdf_yes,,coaches_corner,https://powlax.com/mp-files/1-4-1-shifted-triangles-motion-offense-lacrosse-powlax.pdf/,1081201074,[mpdl-file-link file_id=19663],https://powlax.com/wp-content/uploads/2024/02/1-4-1-Double-Mumbo-to-Weave-1.webp
,,1-4-1 Wing Pairs Offense,6,1-4-1 Wing Pairs Offense. The first of 3 parts of the Penn State Offense<br>,offense,,,,,,09-14,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/penn-state-offense-pdf-lacrosse-powlax.pdf/,1078452306,[mpdl-file-link file_id=886],https://powlax.com/wp-content/uploads/2020/08/14-Wing-Pairs-Offense-Penn-State-Lacrosse-POWLAX.webp
,,10 Man Ride,82,"How to implement the 10 Man Ride used by Virginia, Bucknell, UNC, Loyola, Boston, Michigan, and More!",riding,,,,,,09-14,13-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/10-man-ride-pdf-lacrosse-powlax.pdf/,1092018578,[mpdl-file-link file_id=1257],https://powlax.com/wp-content/uploads/2020/08/10-Man-Ride-Lacrosse-POWLAX.webp
,,14 Carry Step off Man Up,2,"This simple and adaptable Man Up Motion is used to create shooting opportunities by attacking the gaps of zone defense or making a man to man defense rotate further than expected. It also focuses on allowing players to play and make reads, rather than running set plays every time.",man-up,,,,,,09-14,13-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/1-4-1-carry-step-off-man-up-pdf-lacrosse-powlax.pdf/,1078533930,[mpdl-file-link file_id=1111],https://powlax.com/wp-content/uploads/2020/08/14-Carry-Step-Off-Man-Up-Lacrosse-POWLAX.webp;https://powlax.com/wp-content/uploads/2020/08/14-Carry-Step-Off-Man-Up-Lacrosse-POWLAX-1.webp
,,14 Double Mumbo Set Play,160,This play is designed to give your best shooters a step-down shot from 8-10 yards.,,,,,,,,,,pdf_yes,,coaches_corner,https://powlax.com/mp-files/141-double-mumbo-set-play-pdf-lacrosse-powlax.pdf/,1078533553,[mpdl-file-link file_id=1315],https://powlax.com/wp-content/uploads/2020/08/14-Double-Mumbo-Youtube-3.webp;https://powlax.com/wp-content/uploads/2020/08/14-Double-Mumbo-Youtube-3-1.webp
,,14 Double Mumbo Set Play,184,Offensive Set Play from the 1-4-1 Set.,offense;set-plays,,,,,,09-10,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/141-double-mumbo-set-play-pdf-lacrosse-powlax.pdf/,1078452290,,
,,1v1 Ground Balls to Give and Go,72,"The 1v1 Ground Ball to Give and Go drill focuses on enhancing players&#8217;ground ball skills, dodging abilities, and defensive techniques in a competitive setting. It is a great drill to incorporate for pregame warm ups.",,1-v-1-competition,,,,,06-08,09-12,11-12,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/1v1-ground-balls-to-give-and-go-lacrosse-powlax.pdf/,1092018543,[mpdl-file-link file_id=1241],https://powlax.com/wp-content/uploads/2024/01/Ground-Balls-to-a-Give-and-Go-Thumbnail-1.webp
,,2 Ball Reaction Drill,7,"The 2-Ball Reaction Drill is an excellent drill for training change of direction footwork, first-time ground balls, and outlet passes!",,skill-drill,,,,,06-08,09-12,11-12,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/2-ball-defensive-reaction-drill-defensive-footwork-drill.pdf/,1092018517,[mpdl-file-link file_id=889],https://powlax.com/wp-content/uploads/2024/04/2-Ball-Reaction-Drill-Lacrosse-POWLAX.png
,,2 Man Game,67,This is an in-depth hour and 50 minute video going over all of the ways to execute and defend two men games. It is the large video that all of the others break into components with.,offense; 2-man-game,,,,,,09-14,11-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/2-man-game-pdf.pdf/,1092017934,[mpdl-file-link file_id=1233],https://powlax.com/wp-content/uploads/2020/08/2-Man-Games-Lacrosse-POWLAX-1.webp
,,2 Man Game - Ball Carrier Options,8,2 Man Games are all about decision making. In this video we discuss the decision making options from a ball carrier perspective.,offense,,,,,,06-08,09-14,13-14,pdf_yes,coaches,coaches_corner,https://powlax.com/mp-files/2-man-game-pdf.pdf/,1081201083,[mpdl-file-link file_id=959],https://powlax.com/wp-content/uploads/2020/08/2-Man-Games-Ball-Carrier-Options.webp
