title,category,description,image_url,congratulations_text
Lacrosse Bot,rank,"Everyone starts out as a 'Lacrosse Bot' - lacks game awareness and skill, often making basic mistakes and following others without understanding why.",https://powlax.com/wp-content/uploads/2024/10/Lacrosse-Bot.webp,Congratulations! You've achieved the rank of Lacrosse Bot!
2nd Bar Syndrome,rank,"Ever feel like you're just not seeing the big picture? That's our friend with the 2nd Bar Syndrome, constantly navigating the field as if peering through a mail slot.",https://powlax.com/wp-content/uploads/2024/10/2nd-Bar-Syndrome.webp,Congratulations! You've achieved the rank of 2nd Bar Syndrome!
Left Bench,rank,"He made the team, but that's just the start. Our Left Bench hero might not play much, but he's got the best seat in the house to learn.",https://powlax.com/wp-content/uploads/2024/10/Left-Bench.webp,Congratulations! You've achieved the rank of Left Bench!
Celly King,rank,"The hype-man of the bench. He might not score the goals, but he leads the league in celebrations.",https://powlax.com/wp-content/uploads/2024/10/Celly-King.webp,Congratulations! You've achieved the rank of Celly King!
D-Mid Rising,rank,"Emerging from the sidelines to the heart of the action, you're honing your transition skills and sharpening defensive instincts.",https://powlax.com/wp-content/uploads/2024/10/D-Mid-Rising.webp,Congratulations! You've achieved the rank of D-Mid Rising!
Lacrosse Utility,rank,"Versatile level. Like a Swiss Army knife, your ability to adapt and fill various roles makes you invaluable.",https://powlax.com/wp-content/uploads/2024/10/Lacrosse-Utility.webp,Congratulations! You've achieved the rank of Lacrosse Utility!
Flow Bro,rank,"Stylist level. Not only do you play with flair, but your iconic style sets you apart on and off the field.",https://powlax.com/wp-content/uploads/2024/10/Flow-Bro.webp,Congratulations! You've achieved the rank of Flow Bro!
Lax Beast,rank,"The Lax Beast is a fearsome competitor on the lacrosse field, combining raw intensity with unmatched skill.",https://powlax.com/wp-content/uploads/2024/10/Lax-Beast.webp,Congratulations! You've achieved the rank of Lax Beast!
Lax Ninja,rank,"Stealthy and precise, the Lax Ninja moves with calculated grace and strikes with deadly accuracy.",https://powlax.com/wp-content/uploads/2024/10/Lax-Ninja.webp,Congratulations! You've achieved the rank of Lax Ninja!
Lax God,rank,"The Lax God reigns supreme over the lacrosse universe, with unmatched power and prowess. His command of the game is divine.",https://powlax.com/wp-content/uploads/2024/10/Lax-God.webp,Congratulations! You've achieved the rank of Lax God!
